"","AUDUSD","BZ","CHFUSD","EURUSD","GC","PL","SPX","USDNOK"
"140623",0.67961,73.61,1.1104,1.08424,1946.8,981.1,4372.59,10.63737
"150623",0.68794,75.63,1.1209,1.09455,1968.9,993.4,4425.84,10.49846
"160623",0.68707,76.56,1.1182,1.09401,1969.1,987.4,4409.59,10.5423
"200623",0.67895,75.42,1.1135,1.092,1947.9,965.9,4388.71,10.7233
"210623",0.67979,77.03,1.12,1.09912,1942.6,948.5,4365.69,10.64266
"220623",0.67591,74.23,1.1169,1.09554,1921.9,925,4381.89,10.65201
"230623",0.6677,74.14,1.1146,1.0891,1929.7,920.6,4348.33,10.81492
"260623",0.66737,74.39,1.11606,1.09098,1937.7,928.6,4328.82,10.73316
"270623",0.6682,72.69,1.1183,1.0957,1924,926.4,4378.41,10.7918
"280623",0.65985,73.57,1.1147,1.09147,1913.8,920.6,4376.86,10.76273
"290623",0.66165,74.31,1.1117,1.08668,1916.7,904.5,4396.44,10.7988
"300623",0.666,75.19,1.1167,1.09074,1926,910.2,4450.38,10.7332
"30723",0.66732,74.96,1.1157,1.09126,1930.7,919.6,4455.59,10.69
"50723",0.66547,76.53,1.1125,1.08544,1924.5,923.6,4446.82,10.67945
"60723",0.66277,76.51,1.1165,1.0889,1916.8,908.7,4411.59,10.7592
"70723",0.66868,78.3,1.1243,1.0964,1930.5,916.7,4398.95,10.6164
"100723",0.66762,77.79,1.1293,1.10053,1932,935.3,4409.53,10.47624
"110723",0.66923,79.35,1.1375,1.10129,1943.7,931.9,4439.26,10.3475
"120723",0.67916,80.2,1.15351,1.11397,1965.1,959.8,4472.16,10.11057
"130723",0.68881,81.54,1.1635,1.12227,1966.6,980.6,4510.04,9.94462
"140723",0.68371,79.66,1.1597,1.1227,1959.8,982.1,4505.42,10.04241
"170723",0.68091,78.56,1.1619,1.12366,1963.1,986.3,4522.79,10.06459
"180723",0.68128,79.82,1.16549,1.1228,1979.2,995.4,4554.98,10.0495
"190723",0.67702,79.54,1.16518,1.1205,1987.7,980.8,4565.72,10.0382
"200723",0.6778,79.62,1.1539,1.11346,1972.1,968,4534.87,10.0669
"210723",0.67283,80.86,1.1546,1.11245,1964.1,971.5,4536.34,10.06994
"240723",0.6731,82.75,1.14916,1.10627,1963.2,967,4554.64,10.0588
